DPPNNNNNNNBS 	CRBVVVSPPNNNNNBSZVVVVVSDPPNNNNNAS 
DDPPNNBT 	CRBVVTNNNATPPCRAVVVVVTPPNNNNNNNASPCRAVVSPNNNNASCRAVVVVSPNNNASZVVVVVTDDPPNNAS 
DDDPPNNNNAS 	CRAVVSNNATCRAVTPNATPCRAVVVVTPNBSPCRBVVSNASPPZVVVVSPNNNNNNNBT 
DDDPNAT 	CRAVVTPNNNBSCRBVVVVVSNNNNNNNNATCRAVVVVTPNNASZVTDDDPNNNNNNNNBT 
PPNNNAT 	CRAVVTPNNNATPCRAVVTNNNNNNBTPCRBVVVVVTNNNNNNATPPCRAVVVTNNNATPZVVVVTPPNNNNNAT 
DDPPNNNNBS 	CRBVVVSPNNNNNNNNNASPZVVVSDPPNNBS 
PPNNNNNAT 	CRAVVTPNNNNNNNNASPPZVVVVTDDDPPNNNNNNNNBS 
DDPPNNNNNNNNAS 	CRAVVVVSPNNBSPCRBVVVVVSPPNNNNNNNNBSZVVSDNNAS 
DDDPPNAS 	CRAVVSPPNNNNNNNASCRAVVVSPPNNNNNNNBSPZVVSDDPPNNNNBS 
DDPPNNNNNNNAS 	CRAVVVVSPPNNNNNASPCRAVVVVVSNNNNNNASPCRAVVVSPNNNNNATPPCRAVTNNATZVVVSDDDNNNNBT 
DDNNNNNBS 	CRBVVVVVSPNNNNNNNNNBSPPCRBVVVVSNNNNNBSZVVSDDDPPNAS 
DDDPNNNNNNNNBT 	CRBVVVVTPPNBSCRBVVVSPNNBTZVVTNNNNNNNNAT 
PPNNNNNNNNNAT 	CRAVVVVTPNNNNNNNBSPCRBVSPNNNBSPPZVVTNNNNNNNNBS 
DNNNNNNBT 	CRBVVVVVTNATPPCRAVVVVTPPNNNNATCRAVTPNNNNBSPPZVVVTDDDPNNNNNAS 
NNNAT 	CRAVVTPPNNNATPPCRAVVVVTPPNNNNNNNASZVVVVTDDPPNNNNNNNNNBT 
DDDPPNNNNNBT 	CRBVVVVTPNNNNNNNNNATPPCRAVVVVTPPNASPPZVVVVTDNNNNNNNNNAT 
PNNNNNNBT 	CRBVTNNNNATPPCRAVVVVTNNNNNNNNBTCRBVVVTPPNNNNBSZVVVVTPPNNNNNAT 
PNNBS 	CRBVVVSPPNNNNNNNBTZVVVSDDPNNNNNNAT 
DPPNBS 	CRBVVSPPNNNNBTPPCRBVTPPNNNNATPPZVSDDDNNNAS 
DDDPPNNNNNNNNNAT 	CRAVTPNNNASPPCRAVVVVSNNNBSPCRBVVSPPNBSZVTDDPPNNNAT 
NNNNNNNNNBS 	CRBVSPPNNNBTPPCRBVVVTPPNATPZVVSDDDPNNNNNNNNBT 
DDDPNNNNNNNAT 	CRAVVVVVTPPNNASPPCRAVVSNNNNNNNATPPCRAVTNBTPZVTDDPNNNNNBS 
DDPPNNNNNNNAS 	CRAVVVSNNNNATPZVVVSDDPPNNNNNNNNBS 
NNNNNBS 	CRBVSPNNNNATPCRAVVTPPNNNNNNNBSCRBVVSPPNNNBSPCRBVVVVVSPNNNNNBSZVVSDDDNNNNNBT 
DPNNNNNNNNAT 	CRAVVVVVTNNASPCRAVVVSPNBSPCRBVVVVSNNNASCRAVVVSNNNNNNNNNASPPZVVVTNAS 
DDDPPNNNNNNNNNBT 	CRBVTPPNNNNNNNBSPPCRBVVVVSPPNNNATPPCRAVVVTPNNNNBTCRBVVTPPNBSZVVTDDDNNNNNNNNNBS 
DNNNNNNNBT 	CRBVVVTPPNNNBTPPCRBVVVVTNNNNNNNBTCRBVVVTNASPPCRAVSPPNNNNNATPZVVVTDPNBS 
DNNAS 	CRAVVVSPNNNNNATCRAVVTPNNASCRAVVVVSPPNNNNNBTPZVVVVVSDDDPPNNNNNNNNBT 
NNNNNAT 	CRAVVVTPPNNNNNBTPPZVVTDNNNNAT 
DDPPNBS 	CRBVVVVSNNNNNNNNNATPPCRAVVTPPNNNNNNNNNBSPPZVVVVVSDDDNNNNNBS 
PPNNNNNNBT 	CRBVVVVTPPNNNNNASPCRAVVVVVSPPNNNNNNNNBTPZVVVVTDDDPNNNNAS 
DDNNNNNBS 	CRBVVVVSPPNBTZVSDPNNNAT 
DDDNNNNNNNNAS 	CRAVVVVVSPNNNNATCRAVVVVVTPPNNNNNNNBSPCRBVVVSNNNNBSPPCRBVSPNNNNNNNNNASZVVVVVSDDNNNNNNNNAT 
DDNNNNNBT 	CRBVVVTPNNNNBSPCRBVVVVVSPPNNNNATPPCRAVVVVTPPNNNNNBTPPCRBVTNNNNNNNNNBTZVVTDDPNNAT 
DNNNNBT 	CRBVVVVTPPNNNNNBTPZVVTPNNNNNNNNNAT 
DDPNNNNNNBS 	CRBVSPPNNNNBTPCRBVVTPNNNNNATCRAVTPPNNNBTPZVVSDDDPNNAT 
PNNNNNNAT 	CRAVVVVTPPNASPPCRAVVVSPPNNNNNBSPCRBVVVSPNNNNNNNBSPZVVVTDNNNNBS 
DDDNNNNNNAT 	CRAVVVTNNNNNNBSZVVVTNNNAT 
DDDPNNNNAS 	CRAVVVVSPNNNNNNNNNATZVVVVSNNNNNNAS 
NNNNNNNAT 	CRAVVVVVTPNNNNNBTPCRBVVVTPPNNNNNNNNNATPCRAVVVVTNNNNNNNNNBTPPCRBVVVVTPPNNNNNNNNBTZVVVVTDDNBS 
DDDNNNNNNNBS 	CRBVVSNNNNNNNNBSPCRBVVVVVSNNNNNASPCRAVVVSNASPPCRAVVVVSNNNNNASZVVVVVSDDPNNNNNNNAT 
DDPNNNNBT 	CRBVVTPNNNNBSPPCRBVVVSPNNNNNATCRAVVVTPNASPPZVVVTDPPNNNNNNAS 
DDDPNNNNNNNNNBS 	CRBVVVVVSPNASPCRAVSPPNNNNASZVVVSDDNNNNNNNAS 
DDDPPNNNNNNNNAT 	CRAVVVVTPPNNNNNNNNNBTPPCRBVTPNNNASCRAVVSPPNNBTPCRBVTNNBTPZVVVTDDDNNNNNNNBT 
PNNNNNNNNBT 	CRBVVVTPNNNNNNNATPPCRAVTNNNNATPPCRAVTPNNNNNNNBSCRBVVVVVSPPNNNNNASPPZVVVVTDDDNNBS 
DDDNAS 	CRAVVVVSPNNNNNNNBTZVVVVVSDDPPNNNBS 
DDDPPNNNNNNNBS 	CRBVVSNNNNNNNBTCRBVVTPPNBSPPCRBVVVVVSNNNNNNNNBTPPCRBVTPNNNNASPZVVVVVSDDPPNBS 
DPNNNAS 	CRAVVVVSPPNNNNNNNNBSCRBVVVSPNNNNBTCRBVVVTNNNNBSPPZVVVSDDPNNNNBS 
PNNNNNNNNAS 	CRAVVVSNNNNNNASCRAVVVVSPNNNNASCRAVVSNNATCRAVVTNNNNNBSPZVVVVVSDDNAS 
DDPNNNNNBT 	CRBVTPNNNNNNNATPPZVVVVVTDDDNNNNNNAT 
DDPPNNNNNNNAT 	CRAVVVTPPNNNNNNNBTCRBVVVVVTPPNNASPCRAVVSPPNNNNNNNBTPPCRBVVVVTPNNNNNNNASPPZVVVVVTNNBS 
DDPNNNNNNNNNBS 	CRBVVVVSPNASCRAVVSNNNNATPPCRAVVVVVTPPNNNNNNNNNASZVSDDPNBS 
DDDPNNNNNBT 	CRBVVTPNNNNNNBSPPCRBVSNBSZVVVTDDPNNBT 
DDDPNNNNNNNAS 	CRAVVVVSPNNNNBTCRBVVVVTPPNASPCRAVVVSPPNNNNNASCRAVSPNNNNNNNNNBSZVVSDPNAT 
DDDPPNNNNNNNBS 	CRBVVVVSPNNNNNNNATPPZVVVSPPNNNNNBS 
DDPNAT 	CRAVTNNNNNNNBSZVTDPPNNNAS 
DDDNNNNNNNAS 	CRAVSNNNNNATCRAVVVVTNNNNNNNNASPCRAVVSPNNNNNNASPCRAVVVVVSNNNNNNNASZVVVVSDPNAT 
DDDNNNNNNNNBS 	CRBVSPPNNNNNBTPCRBVVTNNNNNNBTPPCRBVVTPPNNBSPPCRBVVVVSPPNNNASPPZVVSDDNNNAT 
DDNNAS 	CRAVVSPNNNBSPCRBVVSNNNNBSPPCRBVVVSPPNNNNNNNNNBTPPCRBVVVVTPPNNNATZVVVSDPNNNAT 
DDPNBT 	CRBVVVVVTPNNNNNNNNNBSZVVVVVTDPPNNNNBT 
DDDPPNNNNAT 	CRAVVVVTPPNASCRAVVVSNNNASPPCRAVVVVSPPNNNNNNNNBTPPZVVVTPPNNNNNNBT 
DDDPPNNNNNNNNNBS 	CRBVVSPPNBSPPCRBVSNNNNBTZVVVVSPPNNNNNNAS 
PPNNNNNNAS 	CRAVSPNNNNNBSCRBVVVSPNNNNNNNNBTPCRBVVVVTNNNNNNNNBSPPCRBVVVVVSPPNNNNNBSZVVSDDPPNNAT 
NNNNNNNNBS 	CRBVVSPPNNNNNNATZVVVVSDDDPNAT 
DDPPNNNNNNBT 	CRBVVVVVTPPNNNNNNBTPCRBVVVTNNNATZVTDPNNNNNNNNAT 
DDNNNNNNAS 	CRAVVVSPPNNNBTPCRBVVTPNNATPCRAVVVVTPNBSPZVSDDDPNBS 
DDNNNNNNBS 	CRBVVSPPNNNNNNNATCRAVVVTPNNNNNNNNNATCRAVVVTPNNNNNNNNNATZVVVVSDDDPNNNAT 
DDDPPNNNBS 	CRBVVVVVSNNNASPPCRAVVVVVSPPNNNNNNBTPPCRBVTNNNNASCRAVVVVVSPPNNNNNNNBSZVSNNNNNNNNBS 
PPNNNNBS 	CRBVVVSNNNNNATPCRAVVVTNATPPZVVVVVSNNAT 
NAS 	CRAVVVVVSPPNNNNNNNATZVVSDDPPNNBS 
DDDPNNBS 	CRBVVSPPNNNBSPCRBVVVSPPNNBSPCRBVVVSNNNNNASPZVSDPNNNNNNAS 
DPNNNNNBS 	CRBVSPPNNBSZVSDDDPPNNNAT 
DDDNNNNNNNNNAT 	CRAVTPPNATCRAVTPNNNNNNNBSCRBVVVSPPNASPZVVVTDDDPPNNNNNNNNNBT 
DDDPNNNNBS 	CRBVVVSPPNBTCRBVVVTPPNNNNNNNNNASCRAVVVVSPPNNNNNNNBTPPCRBVTPNNNNNNNBTZVVVSDDNNNNBT 
NNAS 	CRAVVVVVSNBSCRBVVVVSPNNNNNBSPPZVVVVVSDDDPNNNNNAS 
DDDPPNNBT 	CRBVTPNATPPZVVVVVTDDDPPNNNNNNBT 
DDDPPNNNNNNAS 	CRAVVVSPNNBTZVVVVVSDPPNNNNNNNNAT 
DDDNAS 	CRAVSPPNATCRAVVVTPPNNNNATPCRAVVTNNNNNNNNNBTPZVVVVVSDDPPNNNNNAS 
DDPPNNNNNNNNNAS 	CRAVVVSPPNNBSPCRBVSNBTPCRBVVVVVTPNNNNNNNNATPPZVVVSDDPNBT 
DDDPNNNBS 	CRBVVVSNNNNATCRAVTPNNNNNNNNNBTPCRBVTPPNNBSPPZVSDDDPPNNNNNNNNAS 
DDPNNNNNNAT 	CRAVVVVTNNBSPCRBVVVSNNBTPCRBVVVVVTNNNBSPCRBVSPPNNBTPPZVVTDDDPPNNNNAT 
NNNNNAT 	CRAVTPNNBSPCRBVVVSPNNNNBSCRBVVSPNNNASPZVVVVVTDPPNNNNNNNNNBT 
DDDPPNBS 	CRBVVVSPPNNASPPZVVSDNAS 
NAT 	CRAVVVVVTPNNNNNBSPPCRBVVVSPNBTPCRBVVVVTPNNNNNNNNASPZVVVVTPNNNNNNNNAS 
DPPNNNAT 	CRAVTPPNNNNNNNNBSPCRBVVSPPNNNBTCRBVVTPNBTZVVVVTDDDNNNNNNNBS 
NNNNNNNNNAT 	CRAVVVVTPNNNNNASCRAVVSPPNNNNASPZVVVVTDDPNAT 
DDNNNAT 	CRAVVVVVTNNNNNNNBSPPCRBVVVVSNNNNNNNASCRAVVVVVSNNASZVVVVTDPPNNNNNNNNNBT 
NNBS 	CRBVVSPPNBTPPCRBVVTNNNNNNASCRAVVVSPNNNNNASZVVVVSPPNNNNNNBT 
DDDPPNNBT 	CRBVVVVTPNNNNNBSCRBVVVSPPNNNNNNNNNBSPPZVVVVVTPPNNNNNBS 
DNNAT 	CRAVVVVVTNNNBTPZVVVVTPNNBS 
DDNNNNNNNNNBT 	CRBVVVTPNNNNNNNNBSCRBVVVVVSPNNNNNNNNNASPPZVVVTDDPPNNNNBS 
PPNNNNNNBS 	CRBVVVVVSPNNNNNBSPPCRBVVVSPNNBTPZVSDPPNNNNNNAS 
DPNNNNNNNNNAS 	CRAVVSNNNNNNNNNBSPCRBVSNNNNNNNNBTPCRBVVTPNNNNNNNBTPPZVSDDPNNNNNNNAT 
DDNNNNNNNNAT 	CRAVVVTPPNNBTCRBVVVVVTNNNNNNNASPZVTDDNBT 
DPPNNNNBT 	CRBVVVTPNNNNNNASPPCRAVVVVSPNNNNASPZVTDDNNNNNNBS 
NNBT 	CRBVVTNBTPPZVVVTDDDPPNNNNNNBT 
DDDNNNNNNNNAS 	CRAVVVSNATCRAVVTPNNNNNBSPCRBVVVVSNNNNNNNNNBTPPZVSNNNNNNNBS 
DDDNNNNNAS 	CRAVVVVSPNNNNNBTCRBVVVVVTPNNNNNNNBSCRBVVVSNNBTCRBVVVVTNNNATZVVVSPPNAS 
PNNNBS 	CRBVSNNNNNNNNBSPPCRBVVSPPNNNBSZVSDNNNAT 
DDNNNNBT 	CRBVVTPNNBSPPCRBVVSNNNNNNNBSPZVTDDPPNNNNNNNNBS 
DDDPNNNNNBS 	CRBVVVVSNNNNNNASCRAVVVVSPPNBTPPCRBVTPNNNNNNNNATPZVSDNNNNNAS 
PNNNBS 	CRBVVVSPPNNNNNNNNATPPCRAVVVTPPNNNNBTZVVVVSDNNAS 
DDNNNNNNNNBT 	CRBVVVVTPPNNNNNNNNBTPCRBVTPNBSPCRBVVSPNNNNNNNNBSZVVVTDDPNNBS 
NBT 	CRBVVVVTPNNNNNBTPCRBVVVTNNNNNASPPCRAVVVVVSNNNNASPCRAVSPNNNNNNNNNBTPZVVVTPNNNAT 
DPPNBT 	CRBVVVTPPNNNBTPCRBVVVVVTPPNNNNNNNASPZVVTDPNAT 
PPNNNNNNNBT 	CRBVVVTNNNNBSPZVVVTDDPNNNNNNNBS 
DDNNNNNNNNNBT 	CRBVTPNNNNNNNNASPPCRAVVVVSPNNNNNNNNATPPCRAVTNNNNNNBSPCRBVVSPNNNNNNNBTPZVVVTDPNNBT 
DNNNNNNNNBT 	CRBVVTNNNNNNNNASZVVVVTDDDPNNNNAT 
DPPNNNAT 	CRAVVVVVTNNNNATPPCRAVVVVVTPNNNNASPCRAVVVSNNNNNNNNASZVVVTPPNNNNNNNNNAT 
DDNNNNNNNNAS 	CRAVVVSNNNNNNNNASPZVVVVSDPPNNAT 
DDNNNNNNNNNBS 	CRBVVSPPNNNBSPCRBVVVSNNNNNNNNNBTPZVVVSDPPNNNNNNNAS 
DDPNNNNNNAS 	CRAVSPNNNNNNNNATPCRAVVVVTPPNNNNNNNBTCRBVVTNNNNNNNNBTPPZVVVVVSDDPNNNNNNNNBS 
DDDNNNNBS 	CRBVVVVSPNNNBSPZVSDNNNNNNBS 
DPPNNNNNNNAS 	CRAVVVVVSPNNNNNATPPCRAVVVTNASPCRAVVVVVSNNNNBTPZVVSDNNNNNNNNBT 
DDDPNNBS 	CRBVVVVVSPNNNNNNATZVVVVVSDDDPPNNNNNNNNBT 
DDDNNNNNNNNBS 	CRBVVVVSPNNBSPCRBVVVVSPNNASPCRAVVVVSNNNNNNNNNBTPPCRBVTPNBSPPZVVVSPNNNNNNNNAS 
DPNNNNNNNNBT 	CRBVVVVVTNNNNNASZVTDDDNNBT 
DPNNNNNNNNAS 	CRAVVSNNNNNNNNBTPCRBVVVVVTNNNNNNNNASPPZVVVVVSDPPNNNNNBS 
PPNNNNAS 	CRAVVSNNATPPCRAVVVVVTPPNNNNNBTCRBVVVTPNNNNNNNNBSPPCRBVVVVSPPNNNNNNNASPZVVVVSDDDPNNNNNNNBT 
PNNNBS 	CRBVVVVVSPNNNNBSZVVSDPPNNNNNNNNAT 
PNNNNNNNNNAT 	CRAVVVTPPNNNNNNASPCRAVVSPPNNNNNNNASCRAVVVVSNNATPCRAVTPNNNNNNATPZVTDDPPNNNNNNNNNBT 
DNNNAS 	CRAVVVSPPNNNNNNBSCRBVVSPNNATPCRAVVVTNNNASPCRAVVVVSPNNNNBSPZVVSDPPNNNNNNNBS 
NNAS 	CRAVVVVSNNNASCRAVVSNNBSZVVVVVSNNNNNAT 
DDDPPNNNBS 	CRBVVVVVSNNNNATPZVSDDPPNNNNNBS 
DPNAT 	CRAVVVVVTPPNNNASPPCRAVSNNNNNBSPPCRBVVVVVSPPNNNNNASPPCRAVSPPNNNNNNNNBSPPZVTDPPNNNNNBS 
DDDPPNNNNNNAS 	CRAVVVVVSNNASPCRAVVSPNBTPCRBVTPPNNNNNATPCRAVVTPNNNNNNNBSPPZVSDDNNNAT 
DDPNNNNNNBT 	CRBVVVVTNNNNNBSPCRBVVSNASCRAVVVSNNNNBSPZVTDDNNNNNNNNNAS 
DPNNNNNNAS 	CRAVVSPNNNNNNNNBTPCRBVTPNNNNNNNNBTPPZVVVVVSDDNNNNNNNAT 
DDPNNNNNNAT 	CRAVVTPNNNNNNNNBTPZVTDDDNNNNNNNNAS 
NNNNAS 	CRAVVVVVSPPNNBTPCRBVVVTPPNNNNNNNATPCRAVTNNNNNNNNBSCRBVVVVSNNASPPZVVVVVSDDNAS 
PPNNNNNNNBS 	CRBVVVVVSNNNASPCRAVVSNNNNASPCRAVSPNBTPCRBVVVTPPNNNBTZVVVVVSDDPNNNNNNNAT 
DDNNNNNNNBT 	CRBVVVVVTNBTCRBVTPNNNNNASCRAVSNNNNASZVVTDDPNNNNNBT 
DDDPPNNNNNNNAS 	CRAVVSPPNNNNNNASPPCRAVSPPNNNNNNNNNBTCRBVVVVVTNASCRAVVSPNASZVVVVSNNNNNNNNBS 
NNNBT 	CRBVVVTNNNNBSCRBVVVVSPNNNBSCRBVVVVVSNNNNNNNBTPPCRBVVVTPPNNNNNNNNATPZVVVVTDDDNNBT 
DPPNNNNNNAT 	CRAVVTNNNNNNNNNATPCRAVVVVTPNNNNNNNBSPPCRBVVSPNNNNNATPPCRAVVVVTPPNNNNNNNNATZVVVVTDDDPPNNAS 
NNNNNAS 	CRAVVVSPNNNNASPPZVVVVSDDDNNNBS 
DDNNNNNNNAS 	CRAVVVVVSPNASPPCRAVVVSNNNBSPCRBVVSPNNNNNNBTPPCRBVVVVVTNNNNNNNATZVVSDDDNNAS 
NNNNBT 	CRBVTPNNNNNNNNNBSPCRBVVSNATPCRAVVVVVTPPNNNATPPCRAVTNNNNNNATZVVVVVTPNNNNNNNAS 
DDDPNNNNNNNNNAS 	CRAVVVSPNBTPCRBVVTNNASZVVVVSNNNNNNNAT 
PNNNNNNAS 	CRAVVVVSNNNASPPCRAVVVVSPPNNNNNNNATCRAVVTPPNNNNNNNASCRAVVSPPNNNBSPZVVVSNNBS 
DDDPPNNNNBT 	CRBVVVTNNNNNATCRAVVVVTPPNNNNNBSPCRBVVVVVSPPNNBSPPCRBVVVVVSPPNNNNNNNASZVVVVVTDPPNNNNNAS 
DPNNBS 	CRBVVVSPNNNNNNNNNBTPPCRBVVTPPNNNNNNNATPCRAVVVVVTPNNASPPZVVVVVSDNNNNNNNAS 
DDDNNNNBS 	CRBVSNNNNNBSPPZVVSDDDPNAS 
DDPPNNNNAT 	CRAVVVTPPNNNNATPPCRAVVVVTPPNBSPZVVVTDDPNNAS 
PPNNNNNNAT 	CRAVVVVTPNNNNNNNNNBTCRBVTPNBSCRBVVSPNNASCRAVVVSPPNNNNNNNBTPPZVTDDDNNNNNNAS 
DDPPNNBT 	CRBVVVTPNNNNBSPPCRBVVSNBSZVVVVTDPNNNNNAT 
DDDPNNNNNBS 	CRBVVVSNNNATPZVSPNNNNNAT 
PPNNBS 	CRBVSNNNNNNNNASPCRAVVVSPPNNNNBSCRBVVVVSPPNNBSZVSPPNNBS 
DDPPNNNNAT 	CRAVVVTPPNNNNNNNBSPPCRBVSNBTZVVTDDDPNNNNBT 
NAT 	CRAVTPNNNNNATPPCRAVVVVTPNASPPZVVVTPNBT 
DNNNNNNNNNAT 	CRAVVTPNNNNNNBSPCRBVVVSPNNNNNBSPPCRBVVSPPNNNATPPCRAVVVVTPNNNNNNNNBSPZVVVVVTDDDNNNNNNNNAS 
NNNNNNNNNBS 	CRBVSPPNNNNNNNNNBTPPCRBVVTPPNASCRAVVVVSPNNNNNNNNBSPCRBVSPNNNNNNNBSPPZVVVVVSDDDPPNNNNBS 
DDDPNNNAT 	CRAVVVTNNNNNNNNATPCRAVTPNNNNNNNBSPCRBVVVSNNNNNASPZVTPPNNNNNAT 
DNNNNBS 	CRBVVVVSNNNNNASPCRAVVVSPPNNNNNNATPPZVSPNNNNNNNBT 
DPNNNNNNAS 	CRAVSNNNNNNNNBSPPCRBVVVVVSPNNNNATPCRAVTPPNNNNATPCRAVTNNNNNNNNBSPPZVVVVVSDDDNNNNNNNNBS 
PPNNNNNNNAT 	CRAVVVVVTNNBTPZVTDDPPNNNNNAT 
DDDNNNNNAT 	CRAVVTPNNNNNNNNNBSPPCRBVVVSPNNNNNNATPPCRAVVTNNNNNBSZVVTPNNNNNNNBS 
DDPNNNNNAT 	CRAVTPPNNNNNBTPPZVVTDPPNBS 
DDNNNNNNBT 	CRBVVVVVTPPNNASCRAVVVSNNNNBTPZVVVVTDDNNNNNNNNNBS 
PNNNNAT 	CRAVVTPNNNNNNNBSPPZVVTDDDNNNNNNNNNBT 
DDNNBT 	CRBVTPNNNNNNNNNBTPCRBVVVTPNNNNATCRAVVVVTPPNNNNNNNNBTCRBVTNNNASPZVTDNNNNNNAT 
NNNNNNNAS 	CRAVVVVSNBTPPCRBVVVTPPNNNNNNNBSPPCRBVVVVVSNNBSPPZVVVVSDNNNNNNAT 
DDNNNBS 	CRBVSPPNNNNBTCRBVVTPNNNNNNNATCRAVVVVTPPNNNNATZVVVVSPPNNNNNNBS 
NNNNBT 	CRBVVTNNNNNNATPCRAVTPNNNNATPPCRAVTPNNNNNNNBTPPCRBVVVTPNNNNNNNNBSZVVVVTDPNNNNAS 
DDDNNNAS 	CRAVVVVSNNNNNNNNBSPCRBVVSNNASPPZVVVVVSDDDPPNNNNNNNNBS 
PPNNNNAT 	CRAVVVVVTPPNNNNNNBTCRBVVVTNNNNNNNBSPPZVVTPNNNNNBS 
PNNNBS 	CRBVSNASPPCRAVVSNNNNNNBSPPCRBVVSNBTZVVVVSDDPNNNNAT 
DDPNNNBS 	CRBVVVSPPNNNNNNNNNBSCRBVVSPNNNATCRAVVTPPNNNNNNNNNATZVVVVVSDDDPPNNNNNNNBS 
DNNNNNBS 	CRBVVVSNNNNNASZVVVVVSDDNNNNNNNAT 
DPPNNNNNNNNAT 	CRAVVVTNNNNNNNNASCRAVVVSPPNNNNATPPCRAVVVVVTPNNNNNNNNATZVVVVVTNNNNNNNAT 
DPPNNAT 	CRAVTNNNNNNNATPCRAVTNASZVVVVVTNNNNNNAS 
DDPNNNNNNNBT 	CRBVVVVTNNNNNNBSZVVVVTDDDNNNNNNNAT 
DDPNBT 	CRBVVVVTNNNNNNBTZVVVVTPNBS 
DDDPNNNNNNNAT 	CRAVVVTPNNNASPPZVVTDPPNNNNNNBT 
PPNNNNNNNNBS 	CRBVVVVSPPNNATCRAVVTPPNNNNNNATCRAVVVVTPPNNNNNNNNNASCRAVVVVVSPPNNNNNNNNBTPZVVSDDNNAS 
DDPPNNNNBS 	CRBVVVVSPNNNNNNNNNBTPZVVVSDPPNNNNNAT 
DDNNNNNBS 	CRBVVVVSNNNNBTCRBVVVTNNNNNNNNNBTCRBVVVTPNNNNNNBSPZVVVVSDDPNAS 
DNNNNNNNNAS 	CRAVVVVVSPPNNNNNNNBTPPCRBVVVTPNNNNNBSCRBVVVVVSPPNNNNNNNNNBTPCRBVTNNNNBSPPZVVVSDDDPPNNNNNNNNAT 
DDDPNNNNNNAS 	CRAVVVVSPNNNNNNNNNATPCRAVVVVVTNNATPPCRAVVTPPNNNNNATPCRAVTNNNNNATPPZVVVSDDPPNBS 
DNNNBT 	CRBVVVTPPNNNNNNBSPPZVVVTDDNNNNAS 
DPNAT 	CRAVTPPNNNNNNNNBSPCRBVVVVVSNNNNNNNNBTPZVTDDPPNNNNNNNNAT 
DDDPNNNNNBT 	CRBVVTNBTPPCRBVVVVTPNNNATZVVVVVTDPNBS 
DNBT 	CRBVVVVVTNNNNNASPZVVVVTDPNNNNNNNNNBT 
DDDPPNNNNNNNNAT 	CRAVVVVVTPPNNNNNNNNNASPZVVVVVTDDPNAS 
DPPNAS 	CRAVVSPPNNNNNNNNNATPPZVVSDDPPNNNNNNNNNBT 
NNNNNBT 	CRBVVTNNNNBTCRBVVTNNNNNBSPZVVVTDPNBT 
NBS 	CRBVVVVVSNNNNNNNNATPCRAVTPPNBTCRBVVVVTPPNNNNNBTPZVVVVVSDDDNNNBS 
PNNNNNNNBS 	CRBVVSPPNNNNNBTPPCRBVVVTPNNNATCRAVVVTPNNNNNNNNNBSCRBVVVVSPPNNNNNBSPPZVVSDDPNNNAS 
PPNNNNNBT 	CRBVVTPPNNNNBTPZVVVVVTDDDPNNNNNNNNAS 
DDNNNNNBT 	CRBVVVTPPNNNNNATPCRAVVVVVTPNNNNNNBTPPCRBVTPNNNNBTPPZVVTDDDPPNNNNNNNNBS 
DDDNNNNAS 	CRAVVVVSPNBTPPZVVVVSPPNNNNNAT 
DDPNNNNNNNBT 	CRBVVTNNNNNNNNNBSPCRBVVSPNNNNASPPCRAVSPPNNNNNNATCRAVVVVTPNNATPPZVTDDDNNNNNNNNNAT 
PNNAT 	CRAVTNNNNNATCRAVVTPNNNNNNATCRAVVVTPNNNNNBTZVTDDPPNNNNBT 
DPNNNNAT 	CRAVVVVTNNNNNNNNATPPCRAVTPPNNNNNNATPPCRAVTNNNNNNNNBTPCRBVVVVTNNNNBTPZVVVVVTDPPNNNNNNNNNAT 
PPNNNNBT 	CRBVVVVVTPPNNNBTPCRBVVVTPNNNNNNBTCRBVVVVVTPNNNNBSZVTDDDPPNNNNNNNNBT 
DDPPNNBT 	CRBVVVTPPNNNNNNBSPZVVVVTDDPPNNNNNNNNBS 
DDDNNNNNNNNAS 	CRAVVSPPNNNNNNNNNATPPCRAVTPPNNNNNNNNBTCRBVTPPNNNNNBTPPCRBVVTNNNNNNASPZVVVVVSDPPNNNNNNAS 
DPPNNNNNNNNAS 	CRAVSNNNNNBSCRBVVSPNNNNNNNNASZVVVVVSNNBS 
DDDPNNNAS 	CRAVVVVVSNNNNNNNNNBSPCRBVVSPPNNNASPCRAVSNNNASPPZVVVVSDDNNNNBS 
DDNNNNBS 	CRBVSNNNNASCRAVSNBSPPCRBVVSNNNNNNNNASZVVVVSDNNNNNNNNNAS 
DPNNAS 	CRAVSPNNNNNNNBTPCRBVVVTPNATPCRAVVVVTPNNNNNNNBSPPCRBVVVSPPNATPZVVVSDPNNBS 
PPNAS 	CRAVVVSPNNNASCRAVVVSPPNNNNNBSPPCRBVVSPPNNNNNNBTPPZVVVSDPNNNNAS 
PPNNNAS 	CRAVVVVVSPNBTPCRBVTPNNNNNNNNNBTPCRBVVVTPPNATZVVVVVSDDDNNNBT 
PNNAT 	CRAVVTPPNBTZVVVTDNNNNNNNNBS 
DPPNNNNBT 	CRBVVVVVTPPNNNNNBTPPCRBVVTPNNNNNATCRAVVTPNNNNNNNBSPCRBVVVVSPPNNNNNNNNNASPPZVTPPNNAS 
DDDPPNNNNNNNNNBS 	CRBVVSPNNNNNNNNBSCRBVVVSNATPPZVVSNNNNNNBS 
PPNNNNNNNNNAT 	CRAVVVTPNBTCRBVVVVTNNBSPPZVVVVTDPNNNNNBT 
